2024-01-30-08:23:38,4382287,-9.33,0.50,1.17,-0.11,0.01,-0.07,898.47,897.86,0.04,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:38,4382410,-9.32,0.50,1.18,-0.10,0.01,-0.07,898.29,897.90,0.06,0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382410,-9.32,0.50,1.18,-0.10,0.01,-0.07,898.29,897.90,0.06,0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382650,-9.32,0.51,1.15,-0.10,0.02,-0.07,897.48,897.89,0.04,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382536,-9.31,0.51,1.17,-0.11,0.02,-0.07,898.20,897.92,0.07,0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382650,-9.32,0.51,1.15,-0.10,0.02,-0.07,897.48,897.89,0.04,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382767,-9.32,0.52,1.16,-0.11,0.01,-0.07,898.38,897.93,0.06,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382767,-9.32,0.52,1.16,-0.11,0.01,-0.07,898.38,897.93,0.06,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382891,-9.31,0.51,1.13,-0.10,0.01,-0.07,898.20,897.95,0.07,0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4382891,-9.31,0.51,1.13,-0.10,0.01,-0.07,898.20,897.95,0.07,0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383006,-9.32,0.52,1.14,-0.10,0.01,-0.07,897.57,897.92,0.05,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383006,-9.32,0.52,1.14,-0.10,0.01,-0.07,897.57,897.92,0.05,-0.00,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383129,-9.31,0.51,1.13,-0.10,0.01,-0.07,898.02,897.93,0.05,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383129,-9.31,0.51,1.13,-0.10,0.01,-0.07,898.02,897.93,0.05,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383245,-9.31,0.52,1.15,-0.10,0.01,-0.07,897.84,897.92,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383245,-9.31,0.52,1.15,-0.10,0.01,-0.07,897.84,897.92,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383362,-9.31,0.51,1.14,-0.10,0.01,-0.07,897.66,897.90,0.02,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383477,-9.32,0.52,1.16,-0.11,0.01,-0.07,898.20,897.92,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:39,4383477,-9.32,0.52,1.16,-0.11,0.01,-0.07,898.20,897.92,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
