2024-01-30-11:25:32,1497710,9.97,0.16,3.02,-0.07,-0.03,-0.00,1260.96,1255.32,-3.46,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:32,1497832,9.98,0.16,3.03,-0.07,-0.03,-0.00,1261.24,1255.34,-3.45,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:32,1497950,9.98,0.17,3.04,-0.07,-0.03,-0.00,1260.87,1255.32,-3.46,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:32,1498075,9.98,0.16,3.00,-0.07,-0.03,-0.00,1261.24,1255.33,-3.45,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:32,1498199,9.98,0.17,3.01,-0.07,-0.03,-0.00,1261.15,1255.34,-3.45,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1498315,9.98,0.17,3.02,-0.07,-0.03,-0.00,1261.33,1255.36,-3.44,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1498435,9.97,0.15,3.01,-0.07,-0.03,-0.00,1261.71,1255.41,-3.41,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1498557,9.98,0.17,3.03,-0.07,-0.03,-0.00,1261.71,1255.46,-3.39,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1498675,9.98,0.16,3.01,-0.07,-0.03,-0.00,1261.15,1255.46,-3.39,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1498798,9.97,0.17,3.01,-0.07,-0.03,-0.00,1260.49,1255.40,-3.42,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1498922,9.99,0.16,3.01,-0.07,-0.03,-0.00,1261.52,1255.44,-3.41,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499039,9.97,0.17,3.02,-0.07,-0.03,-0.00,1260.77,1255.41,-3.42,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499162,9.98,0.16,3.01,-0.07,-0.03,-0.00,1260.96,1255.39,-3.43,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499279,9.98,0.17,3.02,-0.07,-0.03,-0.00,1261.33,1255.41,-3.42,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499395,9.98,0.16,3.03,-0.07,-0.03,-0.00,1261.43,1255.44,-3.41,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499395,9.98,0.16,3.03,-0.07,-0.03,-0.00,1261.43,1255.44,-3.41,-0.92,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499519,9.98,0.16,3.01,-0.07,-0.03,-0.00,1260.68,1255.40,-3.43,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499519,9.98,0.16,3.01,-0.07,-0.03,-0.00,1260.68,1255.40,-3.43,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499643,9.98,0.16,3.02,-0.07,-0.03,-0.00,1261.05,1255.39,-3.43,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499643,9.98,0.16,3.02,-0.07,-0.03,-0.00,1261.05,1255.39,-3.43,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:33,1499771,9.98,0.16,3.03,-0.07,-0.03,-0.00,1261.05,1255.38,-3.44,-0.93,0.0000000000000000,0.0000000000000000,0
2024-01-30-11:25:34,1499771,9.98,0.16,3.03,-0.07,-0.03,-0.00,1261.05,1255.38,-3.44,-0.93,0.0000000000000000,0.0000000000000000,0
