64770,1.18,1.05,13.71,-0.85,0.06,0.65,1309.89,1306.04,-1.76,-0.54,0.0000000000000000,0.0000000000000000,0
64890,-1.13,-4.83,13.24,-1.22,0.10,0.06,1310.45,1306.19,-1.70,-0.52,0.0000000000000000,0.0000000000000000,0
65017,-2.59,-3.12,12.86,-0.52,-0.24,-0.25,1310.17,1306.31,-1.64,-0.50,0.0000000000000000,0.0000000000000000,0
65152,-1.51,-0.38,12.48,-0.55,-0.31,1.45,1311.10,1306.50,-1.55,-0.48,0.0000000000000000,0.0000000000000000,0
65285,-1.68,-0.96,11.98,-0.78,-1.38,2.82,1310.26,1306.61,-1.51,-0.47,0.0000000000000000,0.0000000000000000,0
65408,-4.94,-2.14,17.51,-0.69,-2.09,2.53,1310.92,1306.80,-1.41,-0.44,0.0000000000000000,0.0000000000000000,0
65529,-3.29,-1.00,14.02,-1.26,-2.04,2.86,1311.57,1307.03,-1.31,-0.41,0.0000000000000000,0.0000000000000000,0
65656,-1.88,-2.10,11.19,0.21,-1.49,3.51,1312.04,1307.27,-1.21,-0.38,0.0000000000000000,0.0000000000000000,0
65656,-1.88,-2.10,11.19,0.21,-1.49,3.51,1312.04,1307.27,-1.21,-0.38,0.0000000000000000,0.0000000000000000,0
65773,-0.41,-5.76,11.66,0.21,-0.90,2.39,1312.04,1307.48,-1.12,-0.36,0.0000000000000000,0.0000000000000000,0
65894,0.04,-7.30,12.94,-0.33,-0.28,1.36,1312.32,1307.71,-1.04,-0.35,0.0000000000000000,0.0000000000000000,0
66017,-0.45,-2.97,13.57,-0.73,-0.20,0.17,1312.88,1307.97,-0.94,-0.32,0.0000000000000000,0.0000000000000000,0
66138,0.64,-2.52,11.15,0.04,-0.26,-0.48,1313.26,1308.25,-0.83,-0.30,0.0000000000000000,0.0000000000000000,0
66264,0.73,-2.98,11.14,0.12,-0.64,0.64,1312.98,1308.48,-0.76,-0.29,0.0000000000000000,0.0000000000000000,0
66389,0.91,-3.40,13.11,0.65,-0.20,1.64,1313.07,1308.71,-0.68,-0.28,0.0000000000000000,0.0000000000000000,0
66520,-0.31,-4.03,15.69,0.82,0.07,1.67,1312.79,1308.91,-0.62,-0.27,0.0000000000000000,0.0000000000000000,0
66649,-0.74,-1.44,13.68,-0.12,-0.17,0.67,1312.32,1309.07,-0.58,-0.26,0.0000000000000000,0.0000000000000000,0
66775,-0.17,-1.86,10.93,-0.33,-0.69,0.96,1312.51,1309.22,-0.54,-0.26,0.0000000000000000,0.0000000000000000,0
66900,0.68,-3.73,11.45,0.23,-0.30,0.38,1312.51,1309.36,-0.51,-0.26,0.0000000000000000,0.0000000000000000,0
66900,0.68,-3.73,11.45,0.23,-0.30,0.38,1312.51,1309.36,-0.51,-0.26,0.0000000000000000,0.0000000000000000,0
67029,0.77,-5.05,13.46,-0.28,0.11,-0.73,1312.51,1309.49,-0.49,-0.26,0.0000000000000000,0.0000000000000000,0
67145,-1.18,-1.55,15.48,-0.68,0.65,-1.39,1312.41,1309.62,-0.47,-0.25,0.0000000000000000,0.0000000000000000,0
67267,-1.63,-1.97,11.60,0.48,0.88,-1.77,1312.51,1309.75,-0.44,-0.25,0.0000000000000000,0.0000000000000000,0
67398,-1.26,-0.83,11.40,0.50,1.01,-2.00,1312.04,1309.83,-0.44,-0.25,0.0000000000000000,0.0000000000000000,0
67529,-1.14,-2.04,13.32,-0.02,0.66,-1.72,1312.60,1309.95,-0.42,-0.25,0.0000000000000000,0.0000000000000000,0
67669,-0.72,-1.57,15.79,-0.14,0.20,-0.84,1312.23,1310.02,-0.42,-0.26,0.0000000000000000,0.0000000000000000,0
67799,-3.77,-0.82,14.60,-0.20,-0.05,0.30,1312.51,1310.14,-0.39,-0.25,0.0000000000000000,0.0000000000000000,0
67926,-2.42,-0.78,10.88,-0.29,-0.69,0.90,1312.32,1310.23,-0.38,-0.25,0.0000000000000000,0.0000000000000000,0
68060,-0.17,-1.06,11.50,-0.03,-0.02,1.76,1312.04,1310.26,-0.41,-0.26,0.0000000000000000,0.0000000000000000,0
68179,-0.94,-1.57,13.98,0.01,0.22,1.16,1312.13,1310.30,-0.43,-0.27,0.0000000000000000,0.0000000000000000,0
68294,-2.57,-2.56,16.12,0.42,-0.57,0.47,1312.13,1310.35,-0.43,-0.28,0.0000000000000000,0.0000000000000000,0
68419,-3.17,-0.57,13.24,-0.54,-0.42,-1.23,1312.04,1310.40,-0.44,-0.28,0.0000000000000000,0.0000000000000000,0
68419,-3.17,-0.57,13.24,-0.54,-0.42,-1.23,1312.04,1310.40,-0.44,-0.28,0.0000000000000000,0.0000000000000000,0
68537,-0.88,-1.21,10.80,-0.16,0.55,-1.44,1312.04,1310.42,-0.47,-0.29,0.0000000000000000,0.0000000000000000,0
68663,-1.15,-0.34,11.48,0.29,0.85,-0.88,1312.04,1310.43,-0.50,-0.30,0.0000000000000000,0.0000000000000000,0
68792,-1.12,0.53,14.54,0.02,0.09,0.24,1312.69,1310.50,-0.50,-0.30,0.0000000000000000,0.0000000000000000,0
68930,-3.74,1.37,16.04,1.32,0.28,1.17,1312.04,1310.53,-0.52,-0.31,0.0000000000000000,0.0000000000000000,0
69067,-5.07,1.92,11.60,-0.53,-0.48,0.94,1312.13,1310.58,-0.52,-0.30,0.0000000000000000,0.0000000000000000,0
69200,-1.04,0.50,9.73,-0.91,0.07,1.32,1311.95,1310.57,-0.56,-0.32,0.0000000000000000,0.0000000000000000,0
